id;nome;uf;populacao;pib;estado_id;codigo_ibg;OID_;MUNICIPIO;UF_1;MUNICIPI_1;UF_12
2850;Garanhuns;PE;129408;1140082;16;2606002;0;Araripina;PE;Garanhuns;PE
2856;Ibimirim;PE;26954;138622;16;2606606;0;Araripina;PE;Ibimirim;PE
2861;Inaj├í;PE;19081;90698;16;2607000;0;Araripina;PE;Inaj├í;PE
2864;Ipubi;PE;28120;139206;16;2607307;0;Araripina;PE;Ipubi;PE
2866;Ita├¡ba;PE;26256;171267;16;2607505;0;Araripina;PE;Ita├¡ba;PE
2868;Itapetim;PE;13881;59350;16;2607703;0;Araripina;PE;Itapetim;PE
2877;Jucati;PE;10604;51840;16;2608255;0;Araripina;PE;Jucati;PE
2878;Jupi;PE;13705;72204;16;2608305;0;Araripina;PE;Jupi;PE
2879;Jurema;PE;14541;64304;16;2608404;0;Araripina;PE;Jurema;PE
2885;Lajedo;PE;36628;194519;16;2608800;0;Araripina;PE;Lajedo;PE
2891;Mirandiba;PE;14308;63997;16;2609303;0;Araripina;PE;Mirandiba;PE
2892;Moreil├óndia;PE;11132;50680;16;2614303;0;Araripina;PE;Moreil├óndia;PE
2886;Limoeiro;PE;55439;324666;16;2608909;0;Araripina;PE;Limoeiro;PE
2889;Manari;PE;18083;68949;16;2609154;0;Araripina;PE;Manari;PE
2896;Orob├│;PE;22878;102259;16;2609709;0;Araripina;PE;Orob├│;PE
2901;Panelas;PE;25645;105295;16;2610202;0;Araripina;PE;Panelas;PE
2898;Ouricuri;PE;64358;308963;16;2609907;0;Araripina;PE;Ouricuri;PE
2900;Palmeirina;PE;8189;41444;16;2610103;0;Araripina;PE;Palmeirina;PE
2902;Paranatama;PE;11001;51518;16;2610301;0;Araripina;PE;Paranatama;PE
2907;Pedra;PE;20944;136273;16;2610806;0;Araripina;PE;Pedra;PE
2903;Parnamirim;PE;20224;103501;16;2610400;0;Araripina;PE;Parnamirim;PE
2904;Passira;PE;28628;128226;16;2610509;0;Araripina;PE;Passira;PE
2906;Paulista;PE;300466;2129675;16;2610707;0;Araripina;PE;Paulista;PB
2908;Pesqueira;PE;62931;345822;16;2610905;0;Araripina;PE;Pesqueira;PE
2917;Riacho das Almas;PE;19162;101073;16;2611705;0;Araripina;PE;Riacho das Almas;PE
2941;S├úo Vicente Ferrer;PE;17000;94852;16;2613800;0;Araripina;PE;S├úo Vicente Ferrer;PE
2911;Po├º├úo;PE;11242;49338;16;2611200;0;Araripina;PE;Po├º├úo;PE
2915;Quixaba;PE;6739;28296;16;2611533;0;Araripina;PE;Quixaba;PE
2920;Sair├®;PE;11240;85263;16;2612000;0;Araripina;PE;Sair├®;PE
2921;Salgadinho;PE;9312;53829;16;2612109;0;Araripina;PE;Salgadinho;PE
2922;Salgueiro;PE;56629;445485;16;2612208;0;Araripina;PE;Salgueiro;PE
2924;Sanhar├│;PE;21955;104564;16;2612406;0;Araripina;PE;Sanhar├│;PE
2925;Santa Cruz;PE;13594;58311;16;2612455;0;Araripina;PE;Santa Cruz;PB
2926;Santa Cruz da Baixa Verde;PE;11768;42117;16;2612471;0;Araripina;PE;Santa Cruz da Baixa Verde;PE
2927;Santa Cruz do Capibaribe;PE;87582;579347;16;2612505;0;Araripina;PE;Santa Cruz do Capibaribe;PE
2930;Santa Maria do Cambuc├í;PE;13021;72692;16;2612703;0;Araripina;PE;Santa Maria do Cambuc├í;PE
